track,note,start,end
3,44,98880,99360
3,41,98880,99360
3,35,98880,99360
3,44,99360,99840
3,41,99360,99840
3,35,99360,99840
2,40,99840,100560
3,44,99840,100320
3,35,99840,100320
3,44,100320,100800
3,38,100320,100800
2,40,100560,100680
2,43,100800,100920
3,44,100800,101280
3,35,100800,101280
2,40,101160,101280
3,44,101280,101760
3,38,101280,101760
2,38,101520,101760
2,36,101760,102720
3,44,101760,102240
3,35,101760,102240
3,44,102240,102720
3,38,102240,102720
2,35,102720,103680
3,44,102720,103200
3,35,102720,103200
3,44,103200,103680
3,38,103200,103680
2,40,103680,104400
3,44,103680,104160
3,35,103680,104160
3,44,104160,104640
3,38,104160,104640
2,40,104400,104520
2,43,104640,104760
3,44,104640,105120
3,35,104640,105120
2,40,105000,105120
3,44,105120,105600
3,38,105120,105600
2,38,105360,105600
2,36,105600,106560
3,44,105600,106080
3,35,105600,106080
3,44,106080,106560
3,38,106080,106560
2,35,106560,107520
3,44,106560,107040
3,35,106560,107040
3,44,107040,107520
3,38,107040,107520
2,40,107520,108240
3,44,107520,108000
3,35,107520,108000
3,44,108000,108480
3,38,108000,108480
2,40,108240,108360
2,43,108480,108600
3,44,108480,108960
3,35,108480,108960
2,40,108840,108960
3,44,108960,109440
3,38,108960,109440
2,38,109200,109440
2,36,109440,110400
3,44,109440,109920
3,35,109440,109920
3,44,109920,110400
3,38,109920,110400
2,35,110400,111360
3,44,110400,110880
3,35,110400,110880
3,44,110880,111360
3,38,110880,111360
2,40,111360,112080
3,44,111360,111840
3,35,111360,111840
3,44,111840,112320
3,38,111840,112320
2,40,112080,112200
2,43,112320,112440
3,44,112320,112800
3,35,112320,112800
2,40,112680,112800
3,44,112800,113280
3,38,112800,113280
2,38,113040,113280
2,36,113280,114240
3,44,113280,113760
3,35,113280,113760
3,44,113760,114240
3,38,113760,114240
2,35,114240,115200
3,44,114240,114720
3,35,114240,114720
3,44,114720,115200
3,38,114720,115200
1,50,115200,115440
1,43,115200,115440
2,31,115200,115440
3,57,115200,115680
3,35,115200,115680
1,50,115440,115680
1,43,115440,115680
2,31,115440,115680
1,50,115680,115920
1,43,115680,115920
2,31,115680,115920
3,42,115680,116160
1,50,115920,116160
1,43,115920,116160
2,31,115920,116160
1,50,116160,116400
1,43,116160,116400
2,31,116160,116400
3,42,116160,116640
1,50,116400,116640
1,43,116400,116640
2,31,116400,116640
1,50,116640,116880
1,43,116640,116880
2,31,116640,116880
3,42,116640,117120
1,50,116880,117120
1,43,116880,117120
2,31,116880,117120
1,45,117120,117360
1,40,117120,117360
2,33,117120,117360
3,57,117120,117600
3,35,117120,117600
1,45,117360,117600
1,40,117360,117600
2,33,117360,117600
1,52,117600,117840
1,45,117600,117840
1,40,117600,117840
2,33,117600,117840
3,42,117600,118080
1,52,117840,118080
1,45,117840,118080
1,40,117840,118080
2,33,117840,118080
1,57,118080,118320
1,52,118080,118320
1,45,118080,118320
1,40,118080,118320
2,33,118080,118320
3,42,118080,118560
1,61,118320,118560
1,57,118320,118560
1,52,118320,118560
1,45,118320,118560
1,40,118320,118560
2,33,118320,118560
1,64,118560,118800
1,61,118560,118800
1,57,118560,118800
